;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;116;61733;1095;49;9,578860445912468;98,18392519803788;70,3030303030303;98,25714649519323;83,11302634088628;16,86046511627907;30,999465526456436
pca-quart;125;60871;1954;40;6,012506012506012;96,83441816161296;75,75757575757575;96,88977317946677;85,67458393116237;11,140819964349376;22,818546914932455
mlp-1camadas-min;94;62301;527;71;15,136876006441224;99,05068817170162;56,96969696969697;99,16120201184185;75,16105128166805;23,91857506361323;36,69008587041374
mlp-1camadas-quart;100;62004;821;65;10,857763300760043;98,59342752817908;60,60606060606061;98,69319538400319;77,33954862066805;18,416206261510126;31,62555344718532
mlp-3camadas-min;80;62501;327;85;19,656019656019655;99,34595907481784;48,484848484848484;99,4795314191125;69,44962208824029;27,972027972027973;37,48828491096532
mlp-3camadas-quart;97;62333;492;68;16,468590831918505;99,11096999523734;58,78787878787879;99,21687226422603;76,37243914123584;25,729442970822284;38,83106485188151
oc-svm-min;0;62828;0;165;0,0;99,73806613433239;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;62825;0;165;0,0;99,738053659311;0,0;100,0;0,0;0,0;0,0
if-min;63;62746;82;102;43,44827586206897;99,70790405283127;38,18181818181818;99,86948494301903;61,751101334358246;40,645161290322584;39,13043478260869
if-quart;90;62716;109;75;45,22613065326633;99,70789014129227;54,54545454545455;99,82650218861917;73,79079846133287;49,450549450549445;52,38649592549476
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;84;62504;232;74;26,582278481012658;99,5134671033803;53,164556962025316;99,63019637847488;72,7790852546334;35,44303797468354;44,303797468354425
