;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;113;61494;1334;52;7,809260539046303;97,79975552839204;68,48484848484848;97,87674285350481;81,87230242586777;14,01985111662531;26,815377313716187
pca-quart;131;60506;2319;34;5,346938775510204;96,2644864264169;79,39393939393939;96,30879426979706;87,44332207412779;10,019120458891013;21,061093247588424
mlp-1camadas-min;93;62103;725;72;11,36919315403423;98,73478005492674;56,36363636363637;98,84605589864391;74,64129654990487;18,921668362156666;31,46143437077131
mlp-1camadas-quart;112;61756;1069;53;9,483488569009314;98,21876488331482;67,87878787878788;98,29844807003582;81,68463445079502;16,641901931649333;30,41825095057034
mlp-3camadas-min;80;62466;362;85;18,099547511312217;99,29039734573682;48,484848484848484;99,42382377284014;69,43017378208434;26,359143327841842;36,29764065335753
mlp-3camadas-quart;99;62285;540;66;15,492957746478874;99,0379425305604;60,0;99,14046955829686;77,12605379181416;24,626865671641788;38,10623556581986
oc-svm-min;0;62828;0;165;0,0;99,73806613433239;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;62825;0;165;0,0;99,738053659311;0,0;100,0;0,0;0,0;0,0
if-min;65;62732;96;100;40,37267080745342;99,68885431714635;39,39393939393939;99,84720188451008;62,71662155834625;39,87730061349693;39,58587088915956
if-quart;89;62679;146;76;37,87234042553192;99,6475631052548;53,93939393939394;99,76760843613211;73,35805568461947;44,5;49,72067039106145
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;87;62434;270;72;24,369747899159663;99,45595978556544;54,716981132075475;99,56940546057668;73,81149829070229;33,72093023255814;43,80664652567975
