;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;43;65576;74;95;36,75213675213675;99,7431142457591;31,159420289855074;99,8872810357959;55,789154603786876;33,72549019607843;32,13751868460389
pca-quart;89;65517;130;49;40,63926940639269;99,72790149730181;64,4927536231884;99,80197114871967;80,22782520050593;49,859943977591044;57,71725032425421
mlp-1camadas-min;84;65628;22;54;79,24528301886792;99,88447741229403;60,869565217391305;99,96648895658797;78,00587618312264;68,85245901639344;63,82978723404255
mlp-1camadas-quart;101;65608;39;37;72,14285714285714;99,8844721441058;73,18840579710145;99,9405913446159;85,52480666410204;72,66187050359711;72,97687861271676
mlp-3camadas-min;108;65615;35;30;75,52447552447552;99,90119778683042;78,26086956521739;99,94668697638994;88,44158881959812;76,86832740213524;77,6978417266187
mlp-3camadas-quart;115;65601;46;23;71,42857142857143;99,895112867675;83,33333333333333;99,92992825262388;91,25510408219361;76,92307692307692;80,64516129032259
oc-svm-min;0;65650;0;138;0,0;99,79023530127076;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;65647;0;138;0,0;99,79022573535;0,0;100,0;0,0;0,0;0,0
if-min;28;65645;5;110;84,84848484848484;99,82519608439229;20,28985507246377;99,99238385377;45,042546295065954;32,748538011695906;23,931623931623935
if-quart;75;65641;6;63;92,5925925925926;99,895112867675;54,34782608695652;99,99086020686399;73,71760902801871;68,4931506849315;59,24170616113745
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;71;65630;18;59;79,7752808988764;99,88293958466356;54,61538461538461;99,97258103826468;73,89208999884583;64,84018264840182;58,29228243021347
